Watershed,Site,Tot_inv_abun,FBI,Family_Shannon,Family_Richness,Family_Eveness,EPT,FFG_Pred,FFG_Graze,FFG_Collect_Gath,FFG_Collect_Filt,FFG_Shredder,N_Uptake,N_Uptake_Cat,N_Distance,N_Rate,N_Q,Water_Cat,pH,Temp,DO_per,DO_ppm,SPC,TDS,PO4,NO3,NH3,BOD,TSS,Discharge,Chloride,Imper_Catch,Imper_5m,Arsenic,Mercury,Lead,Wetland,Forest,Grass,Agricultural,Mat_Tree_D,Sap_Tree_D,Tot_Tree_D,Invas_Shrub_D,Mature_Helio_IV,Mature_Inter_IV,Mature_Meso_IV,Sapling_Helio_IV,Sapling_Inter_IV,Sapling_Meso_IV,Mature_rich,Mature_Shan_H,Mature_Shan_E,Sapling_Rich,Sapling_Shan_H,Sapling_Shan_E,ACNE_MD,ACNE_MI
Crow,C1,13.53,4.84,2.3,19,0.78,0.522,0.21,0.26,0.32,0.21,NA,NA,NA,NA,NA,NA,2,8.23,20.38,95.6,8.24,630.4,419.8,0.18,4.21,0.2,0.98,255,0.99657,42.3,12,10,0.43,5.67,0,0.001,11,21.2,53.8,40.15,40.64,80.79,47.9,0.16,0.4,0.44,0.02,0.9,0.08,9,1.79,0.82,8,1.84,0.88,5.14784017535918,0.104
Crow,C10,39.47,5.97,1.83,28,0.55,0.14,0.43,0.3,0.16,0.1,NA,No,2,NA,0.00274998,9.5868e-4,2,7.94,19.84,87.44,7.54,645,459.2,0.64,5.89,0.09,0.95,298.4,0.70079,36.9,13,9,0.2,10.67,3.86,0,4.4,17.599999999999998,64.1,47.06,34.25,81.31,72.4,0,0.92,0.08,0,1,0,3,0.94,0.86,3,1.05,0.96,23.53,0.65
Crow,C11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8.06,18.48,84.03,7.47,619,442.25,0.33,5.44,0.08,1.97,478.5,0.0319,15.56,20,7,0.87,6.33,3.63,0,3.9,6.3,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crow,C13,18.53,7.08,1.83,20,0.61,0.003,0.35,0.26,0.39,NA,NA,Yes,1,333,-3.9051e-4,-4.98e-5,2,7.76,18.74,78.88,6.84,639.4,419.9,0.21,3.67,0.14,0.87,332.6,0.0892,48.45,23,25,0.1,2.33,0.43,0.001,6.8,33.1,35.199999999999996,39.67,40.46,80.13,168.4,0,1,0,0,1,0,2,0.3,0.44,3,0.9,0.82,0,0
Crow,C2,6.4,4.89,1.485,15,0.55,0.0208,0.33,0.27,0.27,0.13,NA,No,2,NA,1.48e-6,4.41e-6,2,7.92,15.65,77.81,8.75,1020.33,713.42,0.09,0.66,0.3,1.03,560.83,0.04403,203.08,20,14,0.3,0,4.96,0.002,45.7,28.799999999999997,4.4,190.94,188.76,379.7,3338.7,0.37,0.54,0.09,0.02,0.84,0.14,11,2.18,0.91,9,1.89,0.86,33.695,0.135
Crow,C3,43.13,5.94,2.19,29,0.65,0.043,0.65,0.25,0.5,0.1,NA,No,2,NA,8.3657e-4,6.517e-4,2,8,18.18,70.21,6.41,1286,862.75,0.15,1.38,0.16,1.51,811.67,0.0556,250.63,20,7,0.1,0,2.1,0.001,55.00000000000001,19.4,3.6,39.22,35.91,75.13,63.7,0.2,0.08,0.71,0.31,0.69,0,11,1.71,0.71,7,1.77,0.91,0,0
Crow,C4,13.07,5.74,0.68,9,0.31,0.099,0.4,0.3,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,8.205,17.8,98.75,9.278,665.75,489.667,0.2277,4.761,0.0803,1.3225,347.67,3.141783,100.62,11,8.9,0,2.333,3.3,0.5,7.8,20.5,58.5,68.28,134.31,202.59,339.46,0.66,0.34,0,0.44,0.53,0,3,0.8392,0.764,11,1.902,0.793,0,0
Crow,C5,63.07,4.39,1.24,15,0.46,0.801,0.003,0.04,0.25,0.7,NA,Yes,1,1.69,-0.00603805,-0.00407701,2,8.13,19.16,94.94,8.23,621.4,408.2,0.66,5.74,0.1,1.11,321,1.4775,38.09,12,9,0,4,3.53,0,7.2,20.5,59,258.12,202.35,460.47,2161.1,0.31,0.56,0.13,0.04,0.74,0.22,18,2.66,0.92,13,2.15,0.84,7.71,0.031
Crow,C6,36.67,5.88,1.92,26,0.59,0.098,0.04,0.15,0.75,0.06,NA,Yes,1,7.2,-0.01139917,-0.00231706,2,7.863,18.86,85.54,7.48,780.1,543.7,0.09,3.02,0.08,0.8,407.2,0.06089,57.53,10,9,1.3,13.3,0,0,6.7,25.1,56.00000000000001,96.71,116.59,213.3,267,0.22,0.74,0.04,0.14,0.76,0.1,7,1.77,0.91,10,1.82,0.79,18.6,0.16
Crow,C7,5.6,5.01,2.18,14,0.83,0.202,0.15,0.42,0.63,0.21,NA,NA,NA,NA,NA,NA,NA,8.035,19.7,89.45,7.74,630.36,417.5,0.70075,5.39475,0.08375,1.3975,305.5,0.81415,39.34,11,9,0,0,0.433,0.02,6.3,19.7,61,165.67,275.54,441.21,157.03,0.4,0.41,0.18,0.22,0.54,0.25,13,2.24,0.87,11,1.97,0.82,20.71,0.11
Crow,C8,86.27,4.31,1.04,28,0.31,0.08,0.03,0.05,0.87,0.08,NA,No,2,NA,9.2142e-4,2.2384e-4,2,7.78,18.2,82,7.24,687.8,454.3,0.2,4.61,0.05,1.07,379.25,0.14539,61.27,10,3,1.2,6,2.53,0,9.1,21.1,57.199999999999996,62.63,124.25,186.88,62.6,0.09,0.86,0.05,0.08,0.72,0.2,11,2.09,0.87,11,2,0.83,16.28,0.36
