Watershed,Site,Tot_inv_abun,FBI,Family_Shannon,Family_Richness,Family_Eveness,EPT,FFG_Pred,FFG_Graze,FFG_Collect_Gath,FFG_Collect_Filt,FFG_Shredder,N_Uptake,N_Uptake_Cat,N_Distance,N_Rate,N_Q,Water_Cat,pH,Temp,DO_per,DO_ppm,SPC,TDS,PO4,NO3,NH3,BOD,TSS,Discharge,Chloride,Imper_Catch,Imper_5m,Arsenic,Mercury,Lead,Wetland,Forest,Grass,Agricultural,Mat_Tree_D,Sap_Tree_D,Tot_Tree_D,Invas_Shrub_D,Mature_Helio_IV,Mature_Inter_IV,Mature_Meso_IV,Sapling_Helio_IV,Sapling_Inter_IV,Sapling_Meso_IV,Mature_rich,Mature_Shan_H,Mature_Shan_E,Sapling_Rich,Sapling_Shan_H,Sapling_Shan_E,ACNE_MD,ACNE_MI
Blackhawk,BH1,5.6,6.5595,1.42771,8,0.6866,0.25001,0.1,0.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,8.1,19.68,99.76,8.62,588.77,461.3,0.2047,2.6014,0.078,1.888,431,0.3432,37.38,7,6,0.4333,9,2.4333,0.39,34.2,24.7,27.8,33.95,230.22,264.17,429.63,0.45,0.55,0,0.63,0.37,0,4,1.31,0.94,5,1.41,0.87,0,0
Blackhawk,BH3,31.2,5.02,1.81,20,0.6,0.56,0.29,0.26,0.33,0.08,NA,NA,NA,NA,NA,NA,1,8.18,19.7,93.98,8.09,615.38,464.2,0.17,2.19,0.1,2.04,367.2,0.2181,28.36,6,5,0.43,5,1.1,0.003,32.5,25.4,31.5,185.75,317.17,502.92,1461,0.2,0.79,0,0.32,0.68,0,7,1.68,0.86,7,1.64,0.84,74.299,0.289
Blackhawk,BH5,8.33,7.08,2.31,21,0.76,0.064,0.18,0.22,0.67,0.04,NA,NA,NA,NA,NA,NA,2,7.92,18.45,79.5,7.31,434,429.43,0.15,2.58,0.18,3.86,275.5,0.1591,31.51,6,4,0.33,0.1,0,0,24,30,39,396.81,137.69,534.5,4668.19,0.43,0.5,0.06,0.37,0.42,0.19,12,1.65,0.66,13,2.03,0.79,0,0
Blackhawk,BH4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8.21,18.16,96.32,8.57,721.3,543.9,0.32,4.76,0.19,1.7,452,0.04427,46.8,5,5,0.53,0,1.53,0,32,25,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blackhawk,BH2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8.29,19.62,94.64,8.38,652,487.4,0.17,2.68,0.09,2.02,390.6,0.2564,30.04,7,5,0.1,0.67,0,0,34,25,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crow,C4,13.07,5.74,0.68,9,0.31,0.099,0.4,0.3,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,8.205,17.8,98.75,9.278,665.75,489.667,0.2277,4.761,0.0803,1.3225,347.67,3.141783,100.62,11,8.9,0,2.333,3.3,0.5,7.8,20.5,58.5,68.28,134.31,202.59,339.46,0.66,0.34,0,0.44,0.53,0,3,0.8392,0.764,11,1.902,0.793,0,0
Crow,C7,5.6,5.01,2.18,14,0.83,0.202,0.15,0.42,0.63,0.21,NA,NA,NA,NA,NA,NA,NA,8.035,19.7,89.45,7.74,630.36,417.5,0.70075,5.39475,0.08375,1.3975,305.5,0.81415,39.34,11,9,0,0,0.433,0.02,6.3,19.7,61,165.67,275.54,441.21,157.03,0.4,0.41,0.18,0.22,0.54,0.25,13,2.24,0.87,11,1.97,0.82,20.71,0.11
Crow,C2,6.4,4.89,1.485,15,0.55,0.0208,0.33,0.27,0.27,0.13,NA,No,2,NA,1.48e-6,4.41e-6,2,7.92,15.65,77.81,8.75,1020.33,713.42,0.09,0.66,0.3,1.03,560.83,0.04403,203.08,20,14,0.3,0,4.96,0.002,45.7,28.799999999999997,4.4,190.94,188.76,379.7,3338.7,0.37,0.54,0.09,0.02,0.84,0.14,11,2.18,0.91,9,1.89,0.86,33.695,0.135
Crow,C5,63.07,4.39,1.24,15,0.46,0.801,0.003,0.04,0.25,0.7,NA,Yes,1,1.69,-0.00603805,-0.00407701,2,8.13,19.16,94.94,8.23,621.4,408.2,0.66,5.74,0.1,1.11,321,1.4775,38.09,12,9,0,4,3.53,0,7.2,20.5,59,258.12,202.35,460.47,2161.1,0.31,0.56,0.13,0.04,0.74,0.22,18,2.66,0.92,13,2.15,0.84,7.71,0.031
Crow,C1,13.53,4.84,2.3,19,0.78,0.522,0.21,0.26,0.32,0.21,NA,NA,NA,NA,NA,NA,2,8.23,20.38,95.6,8.24,630.4,419.8,0.18,4.21,0.2,0.98,255,0.99657,42.3,12,10,0.43,5.67,0,0.001,11,21.2,53.8,40.15,40.64,80.79,47.9,0.16,0.4,0.44,0.02,0.9,0.08,9,1.79,0.82,8,1.84,0.88,5.14784017535918,0.104
